1. HTS_Number: 6913.10.00.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 
28. HTS_Number: 6912.00.44.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Mugs and other steins | General_Rate_of_Duty: 10% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

29. HTS_Number: 6911.10.25.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Of bone chinaware: - Other | General_Rate_of_Duty: 6% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

30. HTS_Number: 6911.90.00.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Other | General_Rate_of_Duty: 5.40% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

31. HTS_Number: 6913.90.10.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Other: - Statues, statuettes and handmade flowers, valued over $2.50 each and produced by professional sculptors or directly from molds made from original models produced by professional sculptors | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 20% | Additional_Duties: 

32. HTS_Number: 6911.90.00.50 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Other - Other | General_Rate_of_Duty: 5.40% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

33. HTS_Number: 6911.10.45.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Mugs and other steins | General_Rate_of_Duty: 14% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

34. HTS_Number: 6911.10.80.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other | General_Rate_of_Duty: 20.80% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

35. HTS_Number: 6909.11.20.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Of porcelain or china: - Machinery parts | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 40% | Additional_Duties: 

36. HTS_Number: 6911.10.80.90 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other - Other | General_Rate_of_Duty: 20.80% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

37. HTS_Number: 6912.00.39.10 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is over $38 - Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension | General_Rate_of_Duty: 4.50% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

38. HTS_Number: 6909.11.40.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Of porcelain or china: - Other | General_Rate_of_Duty: 4.50% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

39. HTS_Number: 6912.00.35.50 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $38 - Other | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

40. HTS_Number: 6912.00.35.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $38 | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

41. HTS_Number: 6911.10.10.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Hotel or restaurant ware and other ware not household ware | General_Rate_of_Duty: 25% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

42. HTS_Number: 6909.11.00.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Of porcelain or china: | General_Rate_of_Duty: 3.20% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

43. HTS_Number: 6911.10.80.10 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other - Suitable for food or drink contact | General_Rate_of_Duty: 20.80% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

44. HTS_Number: 6907.40.10.51 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Finishing ceramics: - Unglazed - Other: - Other | General_Rate_of_Duty: 8.50% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

45. HTS_Number: 7013.49.40.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Glassware of a kind used for table (other than drinking glasses) or kitchen purposes, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $5 each | General_Rate_of_Duty: 7.20% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

46. HTS_Number: 6903.90.00.00 | Full_Description: Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods and slide gates), other than those of siliceous fossil meals or of similar siliceous earths: - Other | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

47. HTS_Number: 6912.00.39.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is over $38 | General_Rate_of_Duty: 4.50% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

48. HTS_Number: 9703.90.00.00 | Full_Description: Original sculptures and statuary, in any material: - Other | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: Free | Additional_Duties: 

49. HTS_Number: 7013.49.30.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Glassware of a kind used for table (other than drinking glasses) or kitchen purposes, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $3 but not over $5 each | General_Rate_of_Duty: 11.30% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

50. HTS_Number: 6903.90.00.50 | Full_Description: Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods and slide gates), other than those of siliceous fossil meals or of similar siliceous earths: - Other - Other | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

51. HTS_Number: 6907.40.90.51 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Finishing ceramics: - Glazed: - Other - Other | General_Rate_of_Duty: 8.50% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

52. HTS_Number: 6912.00.39.50 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is over $38 - Other | General_Rate_of_Duty: 4.50% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

53. HTS_Number: 6903.90.00.10 | Full_Description: Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods and slide gates), other than those of siliceous fossil meals or of similar siliceous earths: - Other - Of clay | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

54. HTS_Number: 6907.30.90.51 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Mosaic cubes and the like, other than those of subheading 6907.40: - Glazed: - Other - Other | General_Rate_of_Duty: 8.50% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

55. HTS_Number: 6907.40.90.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Finishing ceramics: - Glazed: - Other | General_Rate_of_Duty: 8.50% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

56. HTS_Number: 6912.00.41.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Steins with permanently attached pewter lids; candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, bonbon dishes, egg cups, spoons and spoon rests, oil and vinegar sets, tumblers and salt and pepper shaker sets | General_Rate_of_Duty: 3.90% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

57. HTS_Number: 6907.40.00.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Finishing ceramics: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

58. HTS_Number: 6909.19.50.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Other: - Other | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

59. HTS_Number: 6907.30.90.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Mosaic cubes and the like, other than those of subheading 6907.40: - Glazed: - Other | General_Rate_of_Duty: 8.50% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

60. HTS_Number: 6911.00.00.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: | General_Rate_of_Duty:  | Special_Rate_of_Duty:  | Column_2_Rate_of_Duty:  | Additional_Duties: 

61. HTS_Number: 6909.19.00.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Other: | General_Rate_of_Duty: 3.20% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

62. HTS_Number: 6907.40.10.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Finishing ceramics: - Unglazed | General_Rate_of_Duty: 10% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

63. HTS_Number: 6909.19.50.95 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Other: - Other - Other | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

64. HTS_Number: 6911.90.00.10 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Other - Toilet articles | General_Rate_of_Duty: 5.40% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

65. HTS_Number: 6907.30.00.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Mosaic cubes and the like, other than those of subheading 6907.40: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

66. HTS_Number: 6909.12.00.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Articles having a hardness equivalent to 9 or more on the Mohs scale | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

